PDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees,ZIP
9/1/2015,75,67,58,58,56,54,84,67,49,29.93,29.89,29.86,10,10,6,22,9,26,0,2,,245,94107
9/2/2015,73,68,62,59,56,54,78,68,57,29.97,29.93,29.9,10,10,10,23,12,26,0,5,,249,94107
9/3/2015,70,65,60,57,54,50,84,69,53,29.94,29.89,29.83,10,10,10,18,12,25,0,2,,250,94107
9/4/2015,72,64,55,52,50,48,77,61,44,29.9,29.86,29.83,10,10,7,20,10,24,0,2,,233,94107
9/5/2015,79,65,51,53,48,44,89,60,30,30,29.95,29.9,10,10,10,21,7,24,0,2,,289,94107
9/6/2015,84,68,52,53,47,31,72,44,16,30,29.94,29.9,10,10,10,14,5,17,0,3,,280,94107
9/7/2015,91,73,54,56,46,37,67,42,16,29.95,29.9,29.84,10,10,9,13,5,15,0,1,,307,94107
9/8/2015,95,76,57,54,46,38,67,43,19,29.9,29.85,29.8,10,10,10,14,6,17,0,0,,315,94107
9/9/2015,93,77,60,58,50,44,73,47,21,29.88,29.84,29.79,10,10,10,16,5,18,0,0,,302,94107
9/10/2015,89,74,59,59,56,53,84,59,34,29.91,29.86,29.83,10,10,10,16,6,18,0,2,,298,94107
9/11/2015,79,70,60,58,56,54,90,67,43,29.94,29.9,29.85,10,10,10,16,8,20,0,4,,297,94107
9/12/2015,75,67,58,59,56,54,87,70,53,30,29.94,29.88,10,10,10,23,9,31,0,7,,275,94107
9/13/2015,76,68,59,60,57,55,90,72,54,29.93,29.83,29.74,10,10,10,18,8,22,T,6,Rain,312,94107
9/14/2015,73,67,60,60,57,55,90,77,63,29.8,29.76,29.72,10,10,10,24,14,31,T,7,,229,94107
9/15/2015,70,65,59,56,52,49,84,67,49,29.92,29.88,29.8,10,10,10,28,16,32,0,4,,260,94107
9/16/2015,73,66,58,58,54,50,84,68,51,30.04,29.99,29.94,10,10,10,22,12,26,T,6,Rain,217,94107
9/17/2015,73,65,57,58,56,53,90,72,53,30.1,30.03,29.99,10,10,10,21,8,23,0,4,,300,94107
9/18/2015,79,67,54,59,55,52,93,68,42,29.99,29.94,29.87,10,10,9,18,6,21,0,0,,288,94107
9/19/2015,88,71,53,59,54,49,93,61,28,29.89,29.84,29.78,10,10,10,14,4,16,0,0,,292,94107
9/20/2015,91,74,56,60,51,45,72,48,23,29.89,29.83,29.78,10,10,10,14,5,16,0,1,,304,94107
9/21/2015,91,76,61,58,54,49,78,52,25,29.81,29.77,29.71,10,10,10,20,7,21,0,0,,299,94107
9/22/2015,66,62,57,55,53,51,86,77,67,29.98,29.91,29.8,10,9,6,16,11,20,0,4,,264,94107
9/23/2015,76,64,52,54,52,48,86,66,46,30.03,29.97,29.92,10,10,7,15,6,17,0,2,,267,94107
9/24/2015,89,73,56,57,54,44,80,52,23,29.98,29.92,29.85,10,10,10,14,5,21,0,6,,298,94107
9/25/2015,75,66,57,57,55,53,93,71,49,29.94,29.91,29.88,10,10,10,18,7,21,0,3,,277,94107
9/26/2015,74,65,55,57,55,51,87,70,53,29.95,29.89,29.83,10,10,10,15,7,17,0,3,,291,94107
9/27/2015,73,65,56,57,55,53,93,73,53,29.85,29.82,29.79,10,9,7,17,6,20,0,6,Fog,300,94107
9/28/2015,70,62,54,56,54,52,93,76,59,29.94,29.89,29.83,10,10,7,17,7,21,0,5,,307,94107
9/29/2015,68,64,60,54,52,50,78,67,55,30.03,29.97,29.94,10,10,10,15,9,17,0,7,,277,94107
9/30/2015,65,61,57,58,54,50,87,80,72,30.03,29.98,29.93,10,10,10,12,3,14,T,7,Rain,250,94107
10/1/2015,73,67,60,60,57,55,90,72,53,30.06,29.98,29.92,10,10,10,17,7,21,0,4,,271,94107
10/2/2015,74,64,54,58,55,53,93,73,53,30.06,30,29.88,10,10,8,20,6,23,0,0,,277,94107
10/3/2015,71,62,53,56,52,48,93,75,56,29.82,29.63,29.46,10,9,7,31,8,38,0,3,,237,94107
10/4/2015,73,63,52,54,50,46,77,61,44,29.71,29.6,29.47,10,10,10,18,7,22,0,1,,277,94107
10/5/2015,76,65,53,58,53,47,84,65,46,29.99,29.85,29.71,10,10,10,13,5,16,0,1,,301,94107
10/6/2015,75,66,56,58,55,54,93,73,53,30.13,30.07,29.99,10,10,10,21,7,23,0,2,,301,94107
10/7/2015,76,67,58,57,55,54,84,69,53,30.15,30.12,30.09,10,10,10,20,7,23,0,5,,302,94107
10/8/2015,82,68,54,59,56,52,86,64,42,30.11,30.07,30.04,10,10,10,15,5,18,0,5,,292,94107
10/9/2015,80,67,53,61,56,49,93,64,35,30.1,30.04,29.99,10,10,9,14,6,16,0,1,,279,94107
10/10/2015,72,67,61,61,60,58,93,81,68,30.06,30.01,29.98,10,6,0,18,7,29,0,5,Fog,271,94107
10/11/2015,76,66,56,60,57,54,90,74,57,30.04,29.99,29.94,10,10,10,16,7,20,0,2,,277,94107
10/12/2015,85,69,53,60,56,51,93,65,37,30,29.95,29.9,10,10,8,12,4,20,0,0,,326,94107
10/13/2015,88,73,58,61,55,50,84,57,29,30.02,29.98,29.95,10,10,10,18,4,21,0,1,,308,94107
10/14/2015,78,68,58,59,57,51,90,70,49,30.01,29.98,29.92,10,10,10,15,5,28,0,5,Fog,306,94107
10/15/2015,70,66,61,58,58,57,84,73,61,29.97,29.94,29.91,10,10,10,16,7,,T,6,Rain,297,94107
10/16/2015,74,67,60,57,56,55,90,72,53,29.96,29.93,29.87,10,10,10,20,9,22,T,4,,295,94107
10/17/2015,71,66,60,59,56,53,84,75,66,29.99,29.96,29.94,10,10,10,18,10,21,0,7,,257,94107
10/18/2015,71,66,61,58,56,55,84,71,57,30.01,29.98,29.96,10,10,10,22,13,26,0,5,,275,94107
10/19/2015,70,64,58,57,56,53,87,74,61,30.05,30,29.97,10,10,10,17,8,20,0,5,,278,94107
10/20/2015,80,67,53,59,55,51,100,71,42,30.01,29.97,29.9,10,10,9,17,7,21,0,1,,314,94107
10/21/2015,77,64,51,58,53,47,93,68,43,29.98,29.94,29.91,10,10,9,16,5,21,0,1,,307,94107
10/22/2015,73,63,52,57,54,50,93,73,53,29.98,29.94,29.91,10,10,8,14,6,20,0,2,,332,94107
10/23/2015,75,63,51,57,54,47,93,65,36,30.04,30,29.97,10,10,8,14,5,31,0,4,Fog,331,94107
10/24/2015,75,63,51,58,55,50,100,73,46,30.03,29.99,29.93,10,8,2,17,6,20,0,6,Fog,296,94107
10/25/2015,70,63,56,59,55,51,93,77,61,30.04,29.98,29.95,10,10,7,14,6,17,0,4,,271,94107
10/26/2015,75,66,56,58,56,53,93,71,49,30.02,29.98,29.92,10,9,2,14,5,16,0,6,,285,94107
10/27/2015,72,64,56,56,53,46,80,62,44,30.06,30,29.96,10,10,10,24,4,27,T,7,,313,94107
10/28/2015,70,63,56,59,55,50,84,75,65,30.06,30.03,30.01,10,10,10,20,6,22,T,4,,264,94107
10/29/2015,74,63,52,56,51,47,86,65,44,30.04,30,29.94,10,10,10,17,7,19,0,0,,314,94107
10/30/2015,76,62,48,56,51,45,89,64,38,30.06,30.02,29.99,10,10,10,14,4,16,0,0,,320,94107
10/31/2015,75,64,53,58,54,46,90,72,53,30.13,30.08,30.04,10,10,10,20,8,22,0,1,,275,94107
11/1/2015,70,63,55,61,57,52,87,78,68,30.16,30.09,29.96,10,10,8,14,6,19,0.04,6,Rain,257,94107
11/2/2015,64,58,51,57,51,41,93,75,56,29.93,29.84,29.77,10,8,4,25,8,31,0.31,6,Rain,324,94107
11/3/2015,66,56,45,48,43,39,92,66,40,29.96,29.91,29.83,10,10,10,20,7,22,0,1,,331,94107
11/4/2015,67,56,45,44,35,25,71,46,20,30.14,30.04,29.96,10,10,10,18,8,27,0,1,,342,94107
11/5/2015,65,54,43,50,40,34,80,58,36,30.27,30.22,30.15,10,10,10,13,4,14,0,3,,19,94107
11/6/2015,67,56,45,46,41,35,80,57,34,30.3,30.24,30.19,10,10,10,13,4,14,0,0,,294,94107
11/7/2015,67,55,43,49,44,40,89,67,44,30.19,30.11,30.04,10,10,10,15,5,18,0,1,,337,94107
11/8/2015,62,55,47,53,48,42,86,75,64,30.05,30.01,29.96,10,10,7,18,8,22,T,6,Rain,180,94107
11/9/2015,59,54,49,51,45,41,86,74,61,30.05,29.96,29.93,10,8,2,25,13,31,0.29,5,Rain-Thunderstorm,229,94107
11/10/2015,61,52,42,44,41,39,89,69,49,30.35,30.22,30.06,10,10,10,16,6,23,0,1,,332,94107
11/11/2015,61,50,39,47,42,39,89,72,55,30.42,30.36,30.3,10,10,10,10,5,13,0,0,,2,94107
11/12/2015,64,52,40,47,42,36,89,69,48,30.29,30.21,30.12,10,10,10,13,5,14,0,0,,341,94107
11/13/2015,69,56,42,50,43,37,89,60,31,30.13,30.07,30.01,10,10,10,10,3,13,0,0,,325,94107
11/14/2015,64,52,40,50,44,37,86,67,48,30,29.92,29.85,10,10,8,14,5,15,0,1,,302,94107
11/15/2015,62,32,1,53,46,31,100,74,48,30.09,29.87,29.77,10,8,2,32,19,44,0.3,6,Rain,261,94107
11/16/2015,62,54,46,39,32,23,63,43,23,30.32,30.25,30.1,10,10,10,22,12,30,0,0,,327,94107
11/17/2015,62,56,49,53,45,34,89,70,50,30.36,30.31,30.27,10,10,10,14,5,19,0,3,,279,94107
11/18/2015,64,53,41,54,49,42,93,80,67,30.29,30.21,30.14,10,10,2,12,4,14,0,2,Fog,169,94107
11/19/2015,67,55,43,52,48,42,96,72,48,30.19,30.15,30.1,10,9,2,13,4,15,0,1,Fog,297,94107
11/20/2015,68,57,45,53,50,45,93,73,52,30.14,30.09,30.04,10,10,7,15,4,17,0,1,Fog,275,94107
11/21/2015,73,58,42,53,45,41,100,69,37,30.12,30.06,30.01,10,10,7,15,5,18,0,2,Fog,34,94107
11/22/2015,63,53,43,52,47,40,89,73,56,30.03,29.97,29.91,10,10,10,8,2,10,0,6,,255,94107
11/23/2015,59,52,45,50,48,45,96,84,72,29.96,29.93,29.89,10,8,0,18,6,22,0,6,Fog,288,94107
11/24/2015,58,53,47,52,46,39,89,70,51,29.94,29.91,29.89,10,9,3,30,14,34,0.12,6,Rain,195,94107
11/25/2015,54,46,38,42,37,31,96,71,46,30.03,29.95,29.89,10,10,2,13,5,17,0.05,2,Rain,360,94107
11/26/2015,56,46,35,33,26,23,76,52,27,30.14,30.09,30.04,10,10,10,21,7,25,T,1,,11,94107
11/27/2015,59,47,34,29,23,19,59,40,21,30.16,30.12,30.09,10,10,10,17,5,23,0,0,,46,94107
11/28/2015,58,49,39,26,21,17,53,38,23,30.18,30.14,30.1,10,10,10,14,8,18,0,0,,81,94107
11/29/2015,55,45,35,34,26,19,59,49,38,30.22,30.18,30.15,10,10,10,12,6,14,0,1,,116,94107
11/30/2015,53,44,35,37,31,26,70,60,50,30.24,30.2,30.17,10,10,10,13,4,15,T,6,Rain,93,94107
12/1/2015,56,48,39,41,34,28,76,61,46,30.26,30.22,30.18,10,10,10,13,5,15,0,4,,147,94107
12/2/2015,56,50,43,43,38,34,71,61,50,30.24,30.16,30.05,10,10,9,12,3,15,0,6,,140,94107
12/3/2015,59,50,41,53,45,34,100,81,61,30.13,30.01,29.95,10,8,1,28,10,34,0.13,6,Rain,162,94107
12/4/2015,59,50,41,49,45,40,93,80,67,30.29,30.23,30.14,10,10,9,10,4,13,0,2,Fog,116,94107
